Site_ID,Name,Hierarchy,Primary_Typology,Secondary_Typology,Specific_Use,Site_Access,Site_Owner,Whole_Part,Site_Area_Ha,Ward
2177,Hadden Park school pitches, ,Institutional,,Playing Field,No access information,Nottingham City Council,Whole Site,4.7553,Bilborough
2470,Fairham College,Local,Institutional,,College,No access information,Nottingham City Council,Whole Site,4.7354,Clifton East
2231,Seagrave School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.8498,Bilborough
1612,Land next to Clifton Lane, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,1.8339,Clifton West
1045,Westgate Junior School - 3,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.7361,Bulwell Forest
2203,Naomi Crescent Open Space, ,Institutional,,Institutional,No access information,Nottingham City Council,Whole Site,1.7338,Bulwell
2185,Highbank Primary School - 1,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.7228,Clifton East
1047,Whitemoor Primary and Nursery,,Institutional,,School,No access information,,Whole Site,1.7201,Basford
2473,Nottingham Canal 6 - 2,City,Natural and Semi Natural,,Green Corridor,Freely accessible to public,Nottingham City Council,Whole Site,1.7136,Lenton & Wollaton East
2226,Rise Park Primary School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.7135,Bulwell Forest
2238,St Margeret Clitherow CP School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.7009,Bestwood
2141,Bonnington School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.6813,Bulwell
1837,Nottm Business Park open space - 3, ,Amenity Green Space,, ,No access information,Unknown,Whole Site,1.6545,Bilborough
2380,Behind Siemens Training Centre,Private,Outdoor Sports Facility,,Sports Turf,No access information,Nottingham City Council,Whole Site,1.6454,Wollaton West
2458,The Ridge Adventure Playground, ,Provision for Children and Young People,,Adventure,No public access,Nottingham City Council,Whole Site,1.579,Bestwood
2142,Bosworth School,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.5766,Meadows
917,Castle Marina,,Amenity Green Space,,,No access information,Private,Whole Site,1.5752,Castle
2261,Walter Halls Primary and Nursery School - 1, ,Institutional,,Institutional,No access information,Nottingham City Council,Whole Site,1.56,Mapperley
2235,Southwark Primary School,,Institutional,,Grass,No access information,,Whole Site,1.5464,Basford
2195,Melbury School - 1,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.5031,Bilborough
2200,Milford Primary School - 1,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.5031,Clifton East
2198,Middleton School - 1,Local,Institutional,,School,No access information,Nottingham City Council,Whole Site,1.4954,Wollaton West
